"ID","TaskID","IconPath","IconMuskPath"
"76","194","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\digital_library.bmp","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\digital_library_mask.bmp"
"30","195","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\Icons 16\bundle_list.bmp","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\Icons 16\bundle_list_mask.bmp"
"110","274","\\zeus\Company Data\Graphics and Sounds\Icons\Hal\calculator_add.bmp","\\zeus\Company Data\Graphics and Sounds\Icons\Hal\calculator_add_mask.bmp"
"10","199","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\email.bmp","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\email_mask.bmp"
"11","200","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\email.bmp","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\email_mask.bmp"
"12","201","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\audit_trail.bmp","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\audit_trail_mask.bmp"
"13","202","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\appointments.bmp","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\appointments_mask.bmp"
"14","203","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\access.bmp","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\access_mask.bmp"
"15","204","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\access.bmp","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\access_mask.bmp"
"16","205","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\access.bmp","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\access_mask.bmp"
"17","206","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\audit_trail.bmp","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\audit_trail_mask.bmp"
"19","207","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\access.bmp","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\access_mask.bmp"
"87","244","X:\Graphics and Sounds\Icons\alphacons\tasks.bmp","X:\Graphics and Sounds\Icons\alphacons\tasks_mask.bmp"
"105","196","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\Icons 16\stock_take.bmp","\\Zeus\Company Data\Graphics and Sounds\Icons\alphacons\Icons 16\stock_take_mask.bmp"
"111","224","X:\Graphics and Sounds\Icons\Hal\tool-icon.bmp","X:\Graphics and Sounds\Icons\Hal\tool-icon-mask.bmp"
"107","230","X:\Graphics and Sounds\Icons\Hal\paste_plain.bmp","X:\Graphics and Sounds\Icons\Hal\paste_plain_mask.bmp"
"75","216","\\Zeus\company data\Graphics and Sounds\Icons\alphacons\Icons 16\new_contract.bmp","\\Zeus\company data\Graphics and Sounds\Icons\alphacons\Icons 16\new_contract_mask.bmp"
"112","289","\\zeus\company data\Graphics and Sounds\Icons\Hal\paste_plain.bmp","\\zeus\company data\Graphics and Sounds\Icons\Hal\paste_plain_mask.bmp"
"109","225","\\zeus\Company Data\Graphics and Sounds\Icons\Hal\calculator_add.bmp","\\zeus\Company Data\Graphics and Sounds\Icons\Hal\calculator_add_mask.bmp"
"113","236","\\zeus\company data\Graphics and Sounds\Icons\alphacons\Icons 16\import_export.bmp","\\zeus\company data\Graphics and Sounds\Icons\alphacons\Icons 16\import_export_mask.bmp"
"138","233","\\zeus\company data\Graphics and Sounds\Icons\alphacons\bulb_red.bmp","\\zeus\company data\Graphics and Sounds\Icons\alphacons\bulb_red_mask.bmp"
"114","278","X:\Graphics and Sounds\Icons\Hal\report_edit.bmp","X:\Graphics and Sounds\Icons\Hal\report_edit_mask.bmp"
"88","241","X:\Graphics and Sounds\Icons\Hal\tool-icon.gif","X:\Graphics and Sounds\Icons\Hal\tool-icon-mask.bmp"
"90","221","\\zeus\company data\Graphics and Sounds\Icons\Hal\report_edit.bmp","\\zeus\company data\Graphics and Sounds\Icons\Hal\report_edit_mask.bmp"
"58","240","X:\Graphics and Sounds\Icons\Hal\cog.bmp","X:\Graphics and Sounds\Icons\Hal\cog_mask.bmp"
"93","238","\\zeus\Company Data\Graphics and Sounds\Icons\Hal\calculator_add.bmp","\\zeus\Company Data\Graphics and Sounds\Icons\Hal\calculator_add_mask.bmp"
"132","258","X:\Graphics and Sounds\Icons\Hal\report_edit.bmp","X:\Graphics and Sounds\Icons\Hal\report_edit_mask.bmp"
"134","217","\\Zeus\company data\Graphics and Sounds\Icons\Hal\report_edit.bmp","\\Zeus\company data\Graphics and Sounds\Icons\Hal\report_edit_mask.bmp"
"135","218","X:\Graphics and Sounds\Icons\Hal\report_edit.bmp","X:\Graphics and Sounds\Icons\Hal\report_edit_mask.bmp"
"136","219","X:\Graphics and Sounds\Icons\Hal\report_edit.bmp","X:\Graphics and Sounds\Icons\Hal\report_edit_mask.bmp"
"137","220","X:\Graphics and Sounds\Icons\Hal\report_edit.bmp","X:\Graphics and Sounds\Icons\Hal\report_edit_mask.bmp"
"126","227","X:\Graphics and Sounds\Icons\Hal\report_edit.bmp","X:\Graphics and Sounds\Icons\Hal\report_edit_mask.bmp"
"133","231","\\Zeus\Company Data\Graphics and Sounds\Icons\Hal\report_edit.bmp","\\Zeus\Company Data\Graphics and Sounds\Icons\Hal\report_edit_mask.bmp"
"127","257","X:\Graphics and Sounds\Icons\Hal\report_edit.bmp","X:\Graphics and Sounds\Icons\Hal\report_edit_mask.bmp"
"128","256","X:\Graphics and Sounds\Icons\Hal\report_edit.bmp","X:\Graphics and Sounds\Icons\Hal\report_edit_mask.bmp"
"129","255","X:\Graphics and Sounds\Icons\Hal\report_edit.bmp","X:\Graphics and Sounds\Icons\Hal\report_edit_mask.bmp"
