"searchid","UserId","FormName","ControlName","SearchValue","Checked"
"111","1","frmLeadManager","chkNextDate","0","0"
"112","1","frmLeadManager","chkLastDate","0","0"
"113","1","frmLeadManager","cboStatus","All","0"
"114","1","frmLeadManager","cboPossibility","All","0"
"115","1","frmLeadManager","cboProduct","All","0"
"116","1","frmLeadManager","txtClientName","","0"
"208","1","frmSalesPipeline","chkAccepted","0","0"
"209","1","frmSalesPipeline","cboAgent","0","0"
"210","1","frmSalesPipeline","cboArea","0","0"
"211","1","frmSalesPipeline","chkLastDate","0","0"
"212","1","frmSalesPipeline","chkNextDate","0","0"
"213","1","frmSalesPipeline","cboUsers","1","0"
"214","1","frmSalesPipeline","cboOutcome","0","0"
"215","1","frmSalesPipeline","cboProbability","0","0"
"216","1","frmSalesPipeline","cboStatus","0","0"
"217","1","frmSalesPipeline","cboProduct","0","0"
"218","1","frmSalesPipeline","txtName","","0"
"219","1","frmSalesPipeline","chkDateRange","0","0"
"220","331","frmSalesPipeline","cboAgent","0","0"
"221","331","frmSalesPipeline","cboArea","0","0"
"222","331","frmSalesPipeline","chkLastDate","0","0"
"223","331","frmSalesPipeline","chkNextDate","0","0"
"224","331","frmSalesPipeline","cboUsers","331","0"
"225","331","frmSalesPipeline","chkAccepted","0","0"
"226","331","frmSalesPipeline","cboOutcome","0","0"
"227","331","frmSalesPipeline","cboProbability","0","0"
"228","331","frmSalesPipeline","cboStatus","0","0"
"229","331","frmSalesPipeline","cboProduct","0","0"
"230","331","frmSalesPipeline","txtName","abb","0"
"231","331","frmSalesPipeline","chkDateRange","0","0"
"246","330","frmSalesPipeline","chkAccepted","0","0"
"247","330","frmSalesPipeline","cboAgent","0","0"
"248","330","frmSalesPipeline","cboArea","0","0"
"249","330","frmSalesPipeline","chkLastDate","0","0"
"250","330","frmSalesPipeline","chkNextDate","0","0"
"251","330","frmSalesPipeline","cboUsers","330","0"
"252","330","frmSalesPipeline","cboOutcome","2578","0"
"253","330","frmSalesPipeline","cboProbability","0","0"
"254","330","frmSalesPipeline","cboStatus","0","0"
"255","330","frmSalesPipeline","cboProduct","0","0"
"256","330","frmSalesPipeline","txtName","systems","0"
"257","330","frmSalesPipeline","chkDateRange","0","0"
"258","330","frmLeadManager","cboAgent","All","0"
"259","330","frmLeadManager","chkNextDate","0","0"
"260","330","frmLeadManager","chkLastDate","0","0"
"261","330","frmLeadManager","cboStatus","All","0"
"262","330","frmLeadManager","cboPossibility","High","0"
"263","330","frmLeadManager","cboProduct","All","0"
"264","330","frmLeadManager","txtClientName","rubicon","0"
